sample_id,ethics_subtask
pilot_0371,utilitarianism
pilot_0372,utilitarianism
pilot_0373,utilitarianism
pilot_0374,utilitarianism
pilot_0375,utilitarianism
pilot_0376,utilitarianism
pilot_0377,utilitarianism
pilot_0378,utilitarianism
pilot_0379,utilitarianism
pilot_0380,utilitarianism
pilot_0381,utilitarianism
pilot_0382,utilitarianism
pilot_0383,utilitarianism
pilot_0384,utilitarianism
pilot_0385,utilitarianism
pilot_0386,utilitarianism
pilot_0387,utilitarianism
pilot_0388,utilitarianism
pilot_0389,utilitarianism
pilot_0390,utilitarianism
pilot_0391,utilitarianism
pilot_0392,utilitarianism
pilot_0393,utilitarianism
pilot_0394,utilitarianism
pilot_0395,utilitarianism
pilot_0396,utilitarianism
pilot_0397,utilitarianism
pilot_0398,utilitarianism
pilot_0399,utilitarianism
pilot_0400,virtue
pilot_0401,virtue
pilot_0402,virtue
pilot_0403,virtue
pilot_0404,virtue
pilot_0405,virtue
pilot_0406,virtue
pilot_0407,virtue
pilot_0408,virtue
pilot_0409,virtue
pilot_0410,virtue
pilot_0411,virtue
pilot_0412,virtue
pilot_0413,virtue
pilot_0414,virtue
pilot_0415,virtue
pilot_0416,virtue
pilot_0417,virtue
pilot_0418,virtue
pilot_0419,virtue
pilot_0420,virtue
pilot_0421,virtue
pilot_0422,virtue
pilot_0423,virtue
pilot_0424,virtue
pilot_0425,virtue
pilot_0426,virtue
pilot_0427,virtue
pilot_0428,virtue
pilot_0429,virtue
pilot_0430,virtue
pilot_0431,virtue
pilot_0432,virtue
pilot_0433,virtue
pilot_0434,virtue
pilot_0435,virtue
pilot_0436,virtue
pilot_0437,virtue
pilot_0438,virtue
pilot_0439,virtue
pilot_0440,virtue
pilot_0441,virtue
pilot_0442,virtue
pilot_0443,virtue
pilot_0444,virtue
pilot_0445,virtue
pilot_0446,virtue
pilot_0447,virtue
pilot_0448,virtue
pilot_0449,virtue
pilot_0450,virtue
pilot_0451,virtue
pilot_0452,virtue
pilot_0453,virtue
pilot_0454,virtue
pilot_0455,virtue
pilot_0456,virtue
pilot_0457,virtue
pilot_0458,virtue
pilot_0459,virtue
pilot_0460,virtue
pilot_0461,virtue
pilot_0462,virtue
pilot_0463,virtue
pilot_0464,virtue
pilot_0465,virtue
pilot_0466,virtue
pilot_0467,virtue
pilot_0468,virtue
pilot_0469,virtue
pilot_0470,virtue
pilot_0471,virtue
pilot_0472,virtue
pilot_0473,virtue
pilot_0474,virtue
pilot_0475,virtue
pilot_0476,virtue
pilot_0477,virtue
pilot_0478,virtue
pilot_0479,virtue
pilot_0480,virtue
pilot_0481,virtue
pilot_0482,virtue
pilot_0483,virtue
pilot_0484,virtue
pilot_0485,virtue
pilot_0486,virtue
pilot_0487,virtue
pilot_0488,virtue
pilot_0489,virtue
pilot_0490,virtue
pilot_0491,virtue
pilot_0492,virtue
pilot_0493,virtue
pilot_0494,virtue
pilot_0495,virtue
pilot_0496,virtue
pilot_0497,virtue
pilot_0498,virtue
pilot_0499,virtue
